cpu_usage,memory_usage,disk_io,net_out,process_count,process_spawn_rate,sudo_commands,failed_logins
32.483570765056164,40.27375207517933,82.73012790070132,144.29593208834564,149.3394947256088,2.3215052695127785,1,1
29.308678494144075,43.98836930499137,99.37593022121833,168.4534583131105,139.92699479248807,2.694500536946347,1,0
33.23844269050346,39.45306055300027,100.36033744088893,152.89699082128774,146.55250085092675,2.4026189389548573,2,0
37.61514928204013,42.84426929252672,109.45260691686812,172.60020906294312,164.294634550354,3.1104180469461196,1,0
28.829233126383322,31.7446973313235,72.66283273438347,189.29248446444058,175.5571331006103,4.197178531461913,0,1
28.8293152152541,46.49305595161057,111.85134547694662,241.85772431656923,161.40974661727148,2.2289578428587955,1,0
37.896064077536955,45.00843832753557,45.9121673679445,183.94204806471487,152.0344641694354,4.000820497768414,1,0
33.837173645764544,39.28037958252266,87.40230895272379,120.71871466152037,179.96023540608854,2.2183279276531125,0,0
27.65262807032524,49.614719679026834,90.23452315096911,257.003392324758,143.74327053896957,2.152372787503116,1,0
32.712800217929825,51.56299096338591,112.66653652142477,158.14549331924803,170.61838676733814,3.818594618343213,3,0
27.682911535937688,33.74708094941718,100.45261705353738,197.06397864476855,144.23874403297444,3.921936378007617,0,0
27.671351232148716,39.6609265500365,71.88873892287427,222.32682534703557,158.62045916021788,3.8514099367626544,2,0
31.20981135783017,39.616003551488916,80.3001374836597,209.98052092013913,147.72874870419096,1.6842025917818588,2,0
20.43359877671101,38.420678292237945,103.97360019094813,254.7089773760738,148.88295634694379,2.5340490219279492,1,0
21.375410837434835,50.80632389352224,98.41865316270888,223.95015716963795,142.4522696507558,3.8229885920033215,0,0
27.188562353795135,43.64321702859038,88.41751780728507,156.9345210151446,176.89708062361387,3.0415418405638945,1,0
24.93584439832788,43.14839611082572,90.38332420976042,308.9281086995831,135.3414792378293,1.9263071538025358,0,0
31.571236662976368,30.972963449152726,113.92335994318577,209.71667316691168,135.19535494902584,3.4583179391254415,0,0
25.459879622393945,49.44792621146458,89.6461485426157,192.6329886689247,192.41987131690217,2.2851927410085295,1,0
22.938481493323543,36.32519123602569,98.23817511941853,248.19627115277854,169.55695129308663,4.7945248483922125,1,1
37.32824384460777,45.4195284118643,143.39873176161086,212.47254729650362,102.29772602613927,4.544841462418258,1,1
28.871118497567323,46.94163856570734,71.52634726232154,219.96140964696636,138.69482521579192,3.604097426355567,1,0
30.33764102343962,54.52461017087056,62.96314536850683,324.6091999300343,113.76021324875892,4.361006704769774,4,0
22.87625906893272,35.83825720616622,115.67179329597214,186.24392858724767,130.9861861316949,3.064791350123381,2,0
27.278086377374088,23.863414909254224,86.42713877411794,184.11195529913022,87.2297066753192,3.765437494375016,3,0
30.55461294854933,46.28694681327586,93.6352494451476,205.8289256006232,147.26020844612114,4.477720295302075,3,1
24.245032112888488,57.60357827057598,84.37687243737771,253.57579677905193,127.16116361677376,3.2454986817943126,2,0
31.87849009172836,53.67262447057606,94.80399718464975,124.67329849048005,151.19810513592876,2.7448128284857165,1,0
